Pattern,Board ID,Sensor,Status,Time to Failure (ms),Current,Location,Date,Solution,Voltage,Notes,CV_Post,CF_Post,Tags,CV_Baseline,CF_Baseline,Ph,Image_PRISTINE,Image_EXPOSED,Dendrite Score,R_PRISTINE,G_PRISTINE,B_PRISTINE,R_EXPOSED,G_EXPOSED,B_EXPOSED,Brightness Pristine,Brightness Exposed
1.0,03_01_0021,U4,Not started,,,,,,,,,,,03_01_0021_U4_20240411_CV_0.csv,03_01_0021_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0026,U1,Not started,,,,,,,,03_01_0026_U1_20250117_CV_1.csv,03_01_0026_U1_20250117_CF_1.csv,,03_01_0026_U1_20240411_CV_0.csv,03_01_0026_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0026,U2,Not started,,,,,,,,03_01_0026_U2_20250117_CV_1.csv,03_01_0026_U2_20250117_CF_1.csv,,03_01_0026_U2_20240411_CV_0.csv,03_01_0026_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0026,U3,Not started,,,,,,,,03_01_0026_U3_20250117_CV_1.csv,03_01_0026_U3_20250117_CF_1.csv,,03_01_0026_U3_20240411_CV_0.csv,03_01_0026_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0026,U4,Not started,,,,,,,,03_01_0026_U4_20250117_CV_1.csv,03_01_0026_U4_20250117_CF_1.csv,,03_01_0026_U4_20240411_CV_0.csv,03_01_0026_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0031,U1,Measure/Scanned,24228.0,,CREOL-A112,,DI Water,5.0,,03_01_0031_U1_20241001_CV_1.csv,03_01_0031_U1_20241001_CF_1.csv,,03_01_0031_U1_20240411_CV_0.csv,03_01_0031_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0031,U2,Measure/Scanned,26460.0,,CREOL-A112,,DI Water,5.0,,03_01_0031_U2_20241001_CV_1.csv,03_01_0031_U2_20241001_CF_1.csv,,03_01_0031_U2_20240411_CV_0.csv,03_01_0031_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0031,U3,Measure/Scanned,26520.0,,CREOL-A112,,DI Water,5.0,,03_01_0031_U3_20241001_CV_1.csv,03_01_0031_U3_20241001_CF_1.csv,,03_01_0031_U3_20240411_CV_0.csv,03_01_0031_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0031,U4,Measure/Scanned,29032.0,,CREOL-A112,,DI Water,5.0,,03_01_0031_U4_20241001_CV_1.csv,03_01_0031_U4_20241001_CF_1.csv,,03_01_0031_U4_20240411_CV_0.csv,03_01_0031_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0036,U2,Measure/Scanned,28888.0,0.0054,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0036_U2_20241015_CV_1.csv,03_01_0036_U2_20241015_CF_1.csv,,03_01_0036_U2_20240411_CV_0.csv,03_01_0036_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,03_01_0036_001_U2.jpg,33.47480822456357,169.06813308834222,106.84261523615646,33.47536385147193,174.33080763092002,119.87230997134866,63.85782750137888,103.12870405865687,119.35364836788251
1.0,03_01_0036,U3,Measure/Scanned,28939.0,0.0099,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0036_U3_20241015_CV_1.csv,03_01_0036_U3_20241015_CF_1.csv,,03-01-0036_U3_20240411_CV_0.csv,03-01-0036_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,03_01_0036_001_U3.jpg,29.697771498468065,170.62076942578273,108.23621498288756,36.078474246841594,174.98229326513214,120.16976312264036,62.92107416879795,104.97848621850397,119.35771018552349
1.0,03_01_0036,U4,Measure/Scanned,41796.0,0.0054,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0036_U4_20241015_CV_1.csv,03_01_0036_U4_20241015_CF_1.csv,,03_01_0036_U4_20240411_CV_0.csv,03_01_0036_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,03_01_0036_001_U4.jpg,29.34337935514959,171.2602970642605,108.73311012578047,36.26561526429412,174.982900060873,120.57694584691039,62.853200606342725,105.41967415144502,119.4710155047087
1.0,03_01_0036,U1,Measure/Scanned,33541.0,,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0036_U1_20241015_CV_1.csv,03_01_0036_U1_20241015_CF_1.csv,,03_01_0036_U1_20240411_CV_0.csv,03_01_0036_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,03_01_0036_001_U1.jpg,33.419092902117285,170.6631897179398,108.07531630208828,33.75239534859181,175.6693321940942,121.67767018297202,63.86468979468136,104.16363378953996,120.40389739058253
1.0,03_01_0041,U1,Failed,98109.0,03_01_0041_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.89 final,,03_01_0041_U1_20250508_CF_1.csv,,03_01_0041_U1_20240411_CV_0.csv,03_01_0041_U1_20240411_CF_0.csv,4.02,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0041,U2,Failed,84786.0,03_01_0041_U2_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0041_U2_20250508_CF_1.csv,,03_01_0041_U2_20240411_CV_0.csv,03_01_0041_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0041,U3,Failed,85579.0,03_01_0041_U3_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0041_U3_20250508_CF_1.csv,,03_01_0041_U3_20240411_CV_0.csv,03_01_0041_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0041,U4,Failed,75816.0,03_01_0041_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,4.02 start,,03_01_0041_U4_20250508_CF_1.csv,,03_01_0041_U4_20240411_CV_0.csv,03_01_0041_U4_20240411_CF_0.csv,4.02,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0046,U1,Failed,57093.0,03_01_0046_U1_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,4.26,,03_01_0046_U1_20250508_CF_1.csv,,03_01_0046_U1_20240411_CV_0.csv,03_01_0046_U1_20240411_CF_0.csv,4.1,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0046,U2,Failed,75845.0,03_01_0046_U2_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,,,03_01_0046_U2_20250508_CF_1.csv,,03_01_0046_U2_20240411_CV_0.csv,03_01_0046_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0046,U3,Failed,49974.0,03_01_0046_U3_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,,,03_01_0046_U3_20250508_CF_1.csv,,03_01_0046_U3_20240411_CV_0.csv,03_01_0046_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0046,U4,Failed,104035.0,03_01_0046_U4_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,4.1,,03_01_0046_U4_20250508_CF_1.csv,,03_01_0046_U4_20240411_CV_0.csv,03_01_0046_U4_20240411_CF_0.csv,4.1,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0051,U1,Not started,,,,,,,,,,,03_01_0051_U1_20240411_CV_0.csv,03_01_0051_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0051,U2,Not started,,,,,,,,,,,03_01_0051_U2_20240411_CV_0.csv,03_01_0051_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0051,U3,Not started,,,,,,,,,,,03_01_0051_U3_20240411_CV_0.csv,03_01_0051_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0051,U4,Not started,,,,,,,,,,,03_01_0051_U4_20240411_CV_0.csv,03_01_0051_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0056,U2,Measure/Scanned,36439.0,0.007,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0056_U2_20241015_CV_1.csv,03_01_0056_U2_20241015_CF_1.csv,,03_01_0056_U2_20240411_CV_0.csv,03_01_0056_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,03_01_0056_001_U2.jpg,30.981148488502974,169.06813308834222,106.84261523615646,33.47536385147193,173.62944864782685,119.28365413498804,61.479765526052184,103.12870405865687,118.1309561029557
1.0,03_01_0056,U3,Measure/Scanned,31567.0,0.007,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0056_U3_20241015_CV_1.csv,03_01_0056_U3_20241015_CF_1.csv,,03_01_0056_U3_20240411_CV_0.csv,03_01_0056_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,03_01_0056_001_U3.jpg,26.398154653674823,170.62076942578273,108.23621498288756,36.078474246841594,174.66129850135323,119.42249069837061,59.64548359308655,104.97848621850397,117.90975759760346
1.0,03_01_0056,U4,Measure/Scanned,41829.0,0.0061,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0056_U4_20241015_CV_1.csv,03_01_0056_U4_20241015_CF_1.csv,,03_01_0056_U4_20240411_CV_0.csv,03_01_0056_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,03_01_0056_001_U4.jpg,26.536286835376593,171.2602970642605,108.73311012578047,36.26561526429412,174.46002242298914,119.65233880405532,60.238656825798785,105.41967415144502,118.11700601761441
1.0,03_01_0056,U1,Measure/Scanned,31013.0,0.0064,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0056_U1_20241015_CV_1.csv,03_01_0056_U1_20241015_CF_1.csv,,03_01_0056_U1_20240411_CV_0.csv,03_01_0056_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,03_01_0056_001_U1.jpg,30.271647761062592,170.6631897179398,108.07531630208828,33.75239534859181,174.37851935784323,119.80369579938346,61.411283580119246,104.16363378953996,118.53116624578196
1.0,03_01_0061,U1,Failed,23868.0,03_01_0061_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.96,,03_01_0061_U1_20250508_CF_1.csv,,03_01_0061_U1_20240411_CV_0.csv,03_01_0061_U1_20240411_CF_0.csv,3.96,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0061,U2,Failed,41564.0,03_01_0061_U2_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0061_U2_20250508_CF_1.csv,,03_01_0061_U2_20240411_CV_0.csv,03_01_0061_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0061,U3,Failed,64934.0,03_01_0061_U3_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0061_U3_20250508_CF_1.csv,,03_01_0061_U3_20240411_CV_0.csv,03_01_0061_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0061,U4,Failed,65516.0,03_01_0061_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0061_U4_20250508_CF_1.csv,,03_01_0061_U4_20240411_CV_0.csv,03_01_0061_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0066,U1,Failed,35823.0,03_01_0066_U1_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,4.22,,03_01_0066_U1_20250508_CF_1.csv,,03_01_0066_U1_20240411_CV_0.csv,03_01_0066_U1_20240411_CF_0.csv,4.26,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0066,U2,Failed,32858.0,03_01_0066_U2_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,,,03_01_0066_U2_20250508_CF_1.csv,,03_01_0066_U2_20240411_CV_0.csv,03_01_0066_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0066,U3,Failed,33152.0,03_01_0066_U3_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,,,03_01_0066_U3_20250508_CF_1.csv,,03_01_0066_U3_20240411_CV_0.csv,03_01_0066_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0066,U4,Failed,43174.0,03_01_0066_U4_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3.0,4.26,,03_01_0066_U4_20250508_CF_1.csv,,03_01_0066_U4_20240411_CV_0.csv,03_01_0066_U4_20240411_CF_0.csv,4.26,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0071,U1,Not started,,,,,,,,,,,03_01_0071_U1_20240411_CV_0.csv,03_01_0071_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0071,U2,Not started,,,,,,,,,,,03_01_0071_U2_20240411_CV_0.csv,03_01_0071_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0071,U3,Not started,,,,,,,,,,,03_01_0071_U3_20240411_CV_0.csv,03_01_0071_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0071,U4,Not started,,,,,,,,,,,03_01_0071_U4_20240411_CV_0.csv,03_01_0071_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0076,U2,Measure/Scanned,29982.0,0.0091,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0076_U2_20241015_CV_1.csv,03_01_0076_U2_20241015_CF_1.csv,,03_01_0076_U2_20240411_CV_0.csv,03_01_0076_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,03_01_0076_001_U2.jpg,28.360242523345374,169.06813308834222,106.84261523615646,33.47536385147193,172.48380347020242,117.83388363252962,59.395019922962135,103.12870405865687,116.57090234189808
1.0,03_01_0076,U3,Measure/Scanned,27010.0,0.0051,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0076_U3_20241015_CV_1.csv,03_01_0076_U3_20241015_CF_1.csv,,03_01_0076_U3_20240411_CV_0.csv,03_01_0076_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,03_01_0076_001_U3.jpg,26.2763975376405,170.62076942578273,108.23621498288756,36.078474246841594,175.0410160767985,119.53948899780245,59.38397753778241,104.97848621850397,117.98816087079446
1.0,03_01_0076,U4,Measure/Scanned,43876.0,0.0064,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0076_U4_20241015_CV_1.csv,03_01_0076_U4_20241015_CF_1.csv,,03_01_0076_U4_20240411_CV_0.csv,03_01_0076_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,03_01_0076_001_U4.jpg,26.15833696915124,171.2602970642605,108.73311012578047,36.26561526429412,175.35282102101502,120.20066328445405,59.41739846144873,105.41967415144502,118.3236275889726
1.0,03_01_0076,U1,Measure/Scanned,31253.0,0.0091,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0076_U1_20241015_CV_1.csv,03_01_0076_U1_20241015_CF_1.csv,,03_01_0076_U1_20240411_CV_0.csv,03_01_0076_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,03_01_0076_001_U1.jpg,28.517391761623063,170.6631897179398,108.07531630208828,33.75239534859181,174.2406765681535,119.56525107914969,59.606304521893044,104.16363378953996,117.80407738973207
1.0,03_01_0081,U1,Failed,92411.0,03_01_0081_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.96,,03_01_0081_U1_20250508_CF_1.csv,,03_01_0081_U1_20240411_CV_0.csv,03_01_0081_U1_20240411_CF_0.csv,3.96,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0081,U2,Failed,74182.0,03_01_0081_U2_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0081_U2_20250508_CF_1.csv,,03_01_0081_U2_20240411_CV_0.csv,03_01_0081_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0081,U3,Failed,65202.0,03_01_0081_U3_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0081_U3_20250508_CF_1.csv,,03_01_0081_U3_20240411_CV_0.csv,03_01_0081_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0081,U4,Failed,71432.0,03_01_0081_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.72,,03_01_0081_U4_20250508_CF_1.csv,,03_01_0081_U4_20240411_CV_0.csv,03_01_0081_U4_20240411_CF_0.csv,3.96,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0086,U1,Failed,28461.0,03_01_0086_U1_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3.0,4.23 pH,,03_01_0086_U1_20250508_CF_1.csv,,03_01_0086_U1_20240411_CV_0.csv,03_01_0086_U1_20240411_CF_0.csv,4.23,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0086,U2,Failed,29613.0,03_01_0086_U2_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3.0,,,03_01_0086_U2_20250508_CF_1.csv,,03_01_0086_U2_20240411_CV_0.csv,03_01_0086_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0086,U3,Failed,25771.0,03_01_0086_U3_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3.0,,,03_01_0086_U3_20250508_CF_1.csv,,03_01_0086_U3_20240411_CV_0.csv,03_01_0086_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0086,U4,Failed,36390.0,03_01_0086_U4_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3.0,4.2,,03_01_0086_U4_20250508_CF_1.csv,,03_01_0086_U4_20240411_CV_0.csv,03_01_0086_U4_20240411_CF_0.csv,4.23,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0091,U1,Not started,,,,,,,,,,,03_01_0091_U1_20240411_CV_0.csv,03_01_0091_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0091,U2,Not started,,,,,,,,,,,03_01_0091_U2_20240411_CV_0.csv,03_01_0091_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0091,U3,Not started,,,,,,,,,,,03_01_0091_U3_20240411_CV_0.csv,03_01_0091_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0091,U4,Not started,,,,,,,,,,,03_01_0091_U4_20240411_CV_0.csv,03_01_0091_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0096,U1,Measure/Scanned,31406.0,0.0093,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0096_U1_20241015_CV_1.csv,03_01_0096_U1_20241015_CF_1.csv,,03_01_0096_U1_20240411_CV_0.csv,03_01_0096_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,03_01_0096_001_U1.jpg,11.87398482688831,170.6631897179398,108.07531630208828,33.75239534859181,172.06030528440195,113.5884363607759,44.17569093979612,104.16363378953996,109.94147752832465
1.0,03_01_0096,U2,Measure/Scanned,31382.0,0.0071,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0096_U2_20241015_CV_1.csv,03_01_0096_U2_20241015_CF_1.csv,,03_01_0096_U2_20240411_CV_0.csv,03_01_0096_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,03_01_0096_001_U2.jpg,13.905022799692773,169.06813308834222,106.84261523615646,33.47536385147193,171.27521783833362,112.70970360672229,45.88728191510346,103.12870405865687,109.95740112005312
1.0,03_01_0096,U3,Measure/Scanned,31222.0,0.0088,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0096_U3_20241015_CV_1.csv,03_01_0096_U3_20241015_CF_1.csv,,03_01_0096_U3_20240411_CV_0.csv,03_01_0096_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,03_01_0096_001_U3.jpg,7.295088451346698,170.62076942578273,108.23621498288756,36.078474246841594,171.5101226892058,112.32884235033232,42.05156118050101,104.97848621850397,108.6301754066797
1.0,03_01_0096,U4,Measure/Scanned,38954.0,0.0051,CREOL-A112,10/2/2024,DI Water,5.0,,03_01_0096_U4_20241015_CV_1.csv,03_01_0096_U4_20241015_CF_1.csv,,03_01_0096_U4_20240411_CV_0.csv,03_01_0096_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,03_01_0096_001_U4.jpg,8.909974380017095,171.2602970642605,108.73311012578047,36.26561526429412,172.7206914347174,113.6656246834863,43.54058549607644,105.41967415144502,109.97563387142672
1.0,03_01_0101,U1,Not started,,,,,,,,,,,03_01_0101_U1_20240412_CV_0.csv,03_01_0101_U1_20240412_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0101,U2,Not started,,,,,,,,,,,03_01_0101_U2_20240412_CV_0.csv,03_01_0101_U2_20240412_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0101,U3,Not started,,,,,,,,,,,03_01_0101_U3_20240412_CV_0.csv,03_01_0101_U3_20240412_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0101,U4,Not started,,,,,,,,,,,03_01_0101_U4_20240412_CV_0.csv,03_01_0101_U4_20240412_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,
1.0,03_01_0106,U1,Failed,82056.0,03_01_0106_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.82,,03_01_0106_U1_20250508_CF_1.csv,,03_01_0106_U1_20240412_CV_0.csv,03_01_0106_U1_20240412_CF_0.csv,3.82,03_01_0246_000_U1.jpg,,,,,,,,,,
1.0,03_01_0106,U2,Failed,77750.0,03_01_0106_U2_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0106_U2_20250508_CF_1.csv,,03_01_0106_U2_20240412_CV_0.csv,03_01_0106_U2_20240412_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,
1.0,03_01_0106,U3,Failed,74521.0,03_01_0106_U3_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,,,03_01_0106_U3_20250508_CF_1.csv,,03_01_0106_U3_20240412_CV_0.csv,03_01_0106_U3_20240412_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,
1.0,03_01_0106,U4,Failed,89957.0,03_01_0106_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3.0,3.72,,03_01_0106_U4_20250508_CF_1.csv,,03_01_0106_U4_20240412_CV_0.csv,03_01_0106_U4_20240412_CF_0.csv,3.82,03_01_0246_000_U4.jpg,,,,,,,,,,
